business_id,invoice_id,customer_id,issued_on,due_on,invoice_amount,currency,amount_basis,credit_amount
B001,INV-C0001-0,C0001,2026-01-02,2026-01-16,1000,AUD,including_GST,0
B001,INV-C0001-1,C0001,2026-02-01,2026-02-15,1000,AUD,including_GST,0
B001,INV-C0001-2,C0001,2026-03-03,2026-03-17,1000,AUD,including_GST,0
B001,INV-C0001-3,C0001,2026-04-02,2026-04-16,1000,AUD,including_GST,0
B001,INV-C0001-4,C0001,2026-05-02,2026-05-16,1000,AUD,including_GST,0
B001,INV-C0001-5,C0001,2026-06-01,2026-06-15,1000,AUD,including_GST,0
B001,INV-C0002-0,C0002,2026-01-02,2026-01-16,1000,AUD,including_GST,0
B001,INV-C0002-1,C0002,2026-02-01,2026-02-15,1000,AUD,including_GST,0
B001,INV-C0002-2,C0002,2026-03-03,2026-03-17,1000,AUD,including_GST,0
B001,INV-C0002-3,C0002,2026-04-02,2026-04-16,1000,AUD,including_GST,0
B001,INV-C0002-4,C0002,2026-05-02,2026-05-16,1000,AUD,including_GST,0
B001,INV-C0002-5,C0002,2026-06-01,2026-06-15,1000,AUD,including_GST,0
B001,INV-C0003-0,C0003,2026-01-02,2026-01-16,1000,AUD,including_GST,0
B001,INV-C0003-1,C0003,2026-02-01,2026-02-15,1000,AUD,including_GST,0
B001,INV-C0003-2,C0003,2026-03-03,2026-03-17,1000,AUD,including_GST,0
B001,INV-C0003-3,C0003,2026-04-02,2026-04-16,1000,AUD,including_GST,0
B001,INV-C0003-4,C0003,2026-05-02,2026-05-16,1000,AUD,including_GST,0
B001,INV-C0003-5,C0003,2026-06-01,2026-06-15,1000,AUD,including_GST,0
B001,OPEN-C0001,C0001,2026-08-01,2026-08-16,8400,AUD,including_GST,0
B001,OPEN-C0002,C0002,2026-08-01,2026-09-05,2000,AUD,including_GST,0
B001,OPEN-C0003,C0003,2026-08-01,2026-09-30,1200,AUD,including_GST,0
